TargetID	Remove
cg00001510	1
cg00003969	1
cg00004121	1
cg00004192	1
cg00004209	1
cg00004771	1
cg00005390	1
cg00007215	1
cg00007810	1
cg00009038	1
cg00009796	1
cg00010242	1
cg00011994	1
cg00012343	1
cg00013196	1
cg00013540	1
cg00013543	1
cg00014168	1
cg00014561	1
cg00014748	1
cg00015261	1
cg00015286	1
cg00015572	1
cg00016802	1
cg00017221	1
cg00017437	1
cg00021044	1
cg00022262	1
cg00022606	1
cg00023750	1
cg00025185	1
cg00028232	1
cg00029052	1
cg00029928	1
cg00030125	1
cg00030176	1
cg00031556	1
cg00033102	1
cg00033127	1
cg00033584	1
cg00034407	1
cg00034468	1
cg00034556	1
cg00034639	1
cg00035452	1
cg00035864	1
cg00036614	1
cg00038131	1
cg00038233	1
cg00039936	1
cg00041636	1
cg00041641	1
cg00042254	1
cg00044501	1
cg00045532	1
cg00045748	1
cg00047162	1
cg00047553	1
cg00048838	1
cg00049947	1
cg00050555	1
cg00051510	1
cg00051623	1
cg00052561	1
cg00052626	1
cg00053647	1
cg00054352	1
cg00055233	1
cg00055726	1
cg00056268	1
cg00057434	1
cg00057517	1
cg00058449	1
cg00059374	1
cg00059643	1
cg00059782	1
cg00060715	1
cg00061679	1
cg00062592	1
cg00063040	1
cg00064336	1
cg00064531	1
cg00065226	1
cg00065998	1
cg00066668	1
cg00068684	1
cg00069967	1
cg00070242	1
cg00070542	1
cg00070870	1
cg00071045	1
cg00071137	1
cg00071575	1
cg00071869	1
cg00072839	1
cg00073384	1
cg00074638	1
cg00075844	1
cg00077299	1
cg00077567	1
cg00080418	1
cg00081141	1
cg00081465	1
cg00081852	1
cg00082981	1
cg00084958	1
cg00085889	1
cg00087301	1
cg00087746	1
cg00088251	1
cg00089430	1
cg00090612	1
cg00091063	1
cg00091178	1
cg00091552	1
cg00093354	1
cg00093794	1
cg00094044	1
cg00094269	1
cg00094319	1
cg00095105	1
cg00096747	1
cg00097415	1
cg00097645	1
cg00097790	1
cg00098188	1
cg00098451	1
cg00099129	1
cg00100121	1
cg00101712	1
cg00102266	1
cg00103771	1
cg00104098	1
cg00105229	1
cg00105368	1
cg00105403	1
cg00106254	1
cg00106920	1
cg00108524	1
cg00109148	1
cg00110695	1
cg00111466	1
cg00111532	1
cg00111723	1
cg00112042	1
cg00112558	1
cg00114503	1
cg00114618	1
cg00115102	1
cg00115714	1
cg00116265	1
cg00116558	1
cg00116686	1
cg00117908	1
cg00117965	1
cg00118363	1
cg00119034	1
cg00120274	1
cg00121030	1
cg00121148	1
cg00121366	1
cg00123057	1
cg00125002	1
